Infinitive verb,English translation,Pronunciation,Pronouns,Present Simple Tense,Past Preterite Tense,Past Imperfect Tense,Conditional Tense,Future Simple Tense
,,,nosotros,celebramos,celebramos,celebrábamos,celebraríamos,celebraremos
,,,vosotros,celebráis,celebrasteis,celebrabais,celebraríais,celebraréis
,,,ellos/ellas/ustedes,celebran,celebraron,celebraban,celebrarían,celebrarán
cenar,to dine,theh - nahr,yo,ceno,cené,cenaba,cenaría,cenaré
,,,tú,cenas,cenaste,cenabas,cenarías,cenarás
,,,él/ella/usted,cena,cenó,cenaba,cenaría,cenará
,,,nosotros,cenamos,cenamos,cenábamos,cenaríamos,cenaremos
,,,vosotros,cenáis,cenasteis,cenabais,cenaríais,cenaréis
,,,ellos/ellas/ustedes,cenan,cenaron,cenaban,cenarían,cenarán
cepillarse,to brush one's teeth,theh - pee - yahr - theh,yo,me cepillo,me cepillé,me cepillaba,me cepillaría,me cepillaré
,,,tú,te cepillas,te cepillaste,te cepillabas,te cepillarías,te cepillarás
,,,él/ella/usted,se cepilla,se cepilló,se cepillaba,se cepillaría,se cepillará
,,,nosotros,nos cepillamos,nos cepillamos,nos cepillábamos,nos cepillaríamos,nos cepillaremos
,,,vosotros,os cepilláis,os cepillasteis,os cepillabais,os cepillaríais,os cepillaréis
,,,ellos/ellas/ustedes,se cepillan,se cepillaron,se cepillaban,se cepillarían,se cepillarán
cerrar,to close,theh - rrahr,yo,cierro,cerré,cerraba,cerraría,cerraré
,,,tú,cierras,cerraste,cerrabas,cerrarías,cerrarás
,,,él/ella/usted,cierra,cerró,cerraba,cerraría,cerrará
,,,nosotros,cerramos,cerramos,cerrábamos,cerraríamos,cerraremos
,,,vosotros,cerráis,cerrasteis,cerrabais,cerraríais,cerraréis
,,,ellos/ellas/ustedes,cierran,cerraron,cerraban,cerrarían,cerrarán
cobrar,to charge (money),koh - brahr,yo,cobro,cobré,cobraba,cobraría,cobraré
,,,tú,cobras,cobraste,cobrabas,cobrarías,cobrarás
,,,él/ella/usted,cobra,cobró,cobraba,cobraría,cobrará
,,,nosotros,cobramos,cobramos,cobrábamos,cobraríamos,cobraremos
,,,vosotros,cobráis,cobrasteis,cobrabais,cobraríais,cobraréis
,,,ellos/ellas/ustedes,cobran,cobraron,cobraban,cobrarían,cobrarán
cocinar,to cook,koh - thee - nahr,yo,cocino,cociné,cocinaba,cocinaría,cocinaré
,,,tú,cocinas,cocinaste,cocinabas,cocinarías,cocinarás
,,,él/ella/usted,cocina,cocinó,cocinaba,cocinaría,cocinará
,,,nosotros,cocinamos,cocinamos,cocinábamos,cocinaríamos,cocinaremos
,,,vosotros,cocináis,cocinasteis,cocinabais,cocinaríais,cocinaréis
,,,ellos/ellas/ustedes,cocinan,cocinaron,cocinaban,cocinarían,cocinarán
coger,to take,koh - hehr,yo,cojo,cogí,cogía,cogería,cogeré
,,,tú,coges,cogiste,cogías,cogerías,cogerás
,,,él/ella/usted,coge,cogió,cogía,cogería,cogerá
,,,nosotros,cogemos,cogimos,cogíamos,cogeríamos,cogeremos
,,,vosotros,cogéis,cogisteis,cogíais,cogeríais,cogeréis
,,,ellos/ellas/ustedes,cogen,cogieron,cogían,cogerían,cogerán
colgar,to hang,kohl - gahr,yo,cuelgo,colgué,colgaba,colgaría,colgaré
,,,tú,cuelgas,colgaste,colgabas,colgarías,colgarás
,,,él/ella/usted,cuelga,colgó,colgaba,colgaría,colgará
,,,nosotros,colgamos,colgamos,colgábamos,colgaríamos,colgaremos
,,,vosotros,colgáis,colgasteis,colgabais,colgaríais,colgaréis
