Infinitive verb,English translation,Pronunciation,Pronouns,Present Simple Tense,Past Preterite Tense,Past Imperfect Tense,Conditional Tense,Future Simple Tense
,,,ellos/ellas/ustedes,hablan,hablaron,hablaban,hablarían,hablarán
hacer,to do,ah - thehr,yo,hago,hice,hacía,haría,haré
,,,tú,haces,hiciste,hacías,harías,harás
,,,él/ella/usted,hace,hizo,hacía,haría,hará
,,,nosotros,hacemos,hicimos,hacíamos,haríamos,haremos
,,,vosotros,hacéis,hicisteis,hacíais,haríais,haréis
,,,ellos/ellas/ustedes,hacen,hicieron,hacían,harían,harán
intentar,to try,een - tehn - tahr,yo,intento,intenté,intentaba,intentaría,intentaré
,,,tú,intentas,intentaste,intentabas,intentarías,intentarás
,,,él/ella/usted,intenta,intentó,intentaba,intentaría,intentará
,,,nosotros,intentamos,intentamos,intentábamos,intentaríamos,intentaremos
,,,vosotros,intentáis,intentasteis,intentabais,intentaríais,intentaréis
,,,ellos/ellas/ustedes,intentan,intentaron,intentaban,intentarían,intentarán
ir,to go,eer,yo,voy,fui,iba,iría,iré
,,,tú,vas,fuiste,ibas,irías,irás
,,,él/ella/usted,va,fue,iba,iría,irá
,,,nosotros,vamos,fuimos,íbamos,iríamos,iremos
,,,vosotros,vais,fuisteis,ibais,iríais,iréis
,,,ellos/ellas/ustedes,van,fueron,iban,irían,irán
irse,to go (oneself),eer - seh,yo,me voy,me fui,me iba,me iría,me iré
,,,tú,te vas,te fuiste,te ibas,te irías,te irás
,,,él/ella/usted,se va,se fue,se iba,se iría,se irá
,,,nosotros,nos vamos,nos fuimos,nos íbamos,nos iríamos,nos iremos
,,,vosotros,os vais,os fuisteis,os ibais,os iríais,os iréis
,,,ellos/ellas/ustedes,se van,se fueron,se iban,se irían,se irán
jugar,to play,hoo - gahr,yo,juego,jugué,jugaba,jugaría,jugaré
,,,tú,juegas,jugaste,jugabas,jugarías,jugarás
,,,él/ella/usted,juega,jugó,jugaba,jugaría,jugará
,,,nosotros,jugamos,jugamos,jugábamos,jugaríamos,jugaremos
,,,vosotros,jugáis,jugasteis,jugabais,jugaríais,jugaréis
,,,ellos/ellas/ustedes,juegan,jugaron,jugaban,jugarían,jugarán
lavar,to wash,lah - bahr,yo,lavo,lavé,lavaba,lavaría,lavaré
,,,tú,lavas,lavaste,lavabas,lavarías,lavarás
,,,él/ella/usted,lava,lavó,lavaba,lavaría,lavará
,,,nosotros,lavamos,lavamos,lavábamos,lavaríamos,lavaremos
,,,vosotros,laváis,lavasteis,lavabais,lavaríais,lavaréis
,,,ellos/ellas/ustedes,lavan,lavaron,lavaban,lavarían,lavarán
leer,to read,leh - ehr,yo,leo,leí,leía,leería,leeré
,,,tú,lees,leíste,leías,leerías,leerás
,,,él/ella/usted,lee,leyó,leía,leería,leerá
,,,nosotros,leemos,leímos,leíamos,leeríamos,leeremos
,,,vosotros,leéis,leísteis,leíais,leeríais,leeréis
,,,ellos/ellas/ustedes,leen,leyeron,leían,leerían,leerán
levantarse,to get up (oneself),leh - bahn - tahr - seh,yo,me levanto,me levanté,me levantaba,me levantaría,me levantaré
,,,tú,te levantas,te levantaste,te levantabas,te levantarías,te levantarás
,,,él/ella/usted,se levanta,se levantó,se levantaba,se levantaría,se levantará
,,,nosotros,nos levantamos,nos levantamos,nos levantábamos,nos levantaríamos,nos levantaremos
,,,vosotros,os levantáis,os levantasteis,os levantabais,os levantaríais,os levantaréis
,,,ellos/ellas/ustedes,se levantan,se levantaron,se levantaban,se levantarían,se levantarán
limpiar,to clean,leem - pyahr,yo,limpio,limpié,limpiaba,limpiaría,limpiaré
,,,tú,limpias,limpiaste,limpiabas,limpiarías,limpiarás
,,,él/ella/usted,limpia,limpió,limpiaba,limpiaría,limpiará
,,,nosotros,limpiamos,limpiamos,limpiábamos,limpiaríamos,limpiaremos
,,,vosotros,limpiáis,limpiasteis,limpiabais,limpiaríais,limpiaréis
,,,ellos/ellas/ustedes,limpian,limpiaron,limpiaban,limpiarían,limpiarán
llamar,to call,yah - mahr,yo,llamo,llamé,llamaba,llamaría,llamaré
,,,tú,llamas,llamaste,llamabas,llamarías,llamarás
,,,él/ella/usted,llama,llamó,llamaba,llamaría,llamará
,,,nosotros,llamamos,llamamos,llamábamos,llamaríamos,llamaremos
,,,vosotros,llamáis,llamasteis,llamabais,llamaríais,llamaréis
,,,ellos/ellas/ustedes,llaman,llamaron,llamaban,llamarían,llamarán
llamarse,to be called,yah - mahr - seh,yo,me llamo,me llamé,me llamaba,me llamaría,me llamaré
,,,tú,te llamas,te llamaste,te llamabas,te llamarías,te llamarás
,,,él/ella/usted,se llama,se llamó,se llamaba,se llamaría,se llamará
,,,nosotros,nos llamamos,nos llamamos,nos llamábamos,nos llamaríamos,nos llamaremos
,,,vosotros,os llamáis,os llamasteis,os llamabais,os llamaríais,os llamaréis
,,,ellos/ellas/ustedes,se llaman,se llamaron,se llamaban,se llamarían,se llamarán
llegar,to arrive,yeh - gahr,yo,llego,llegué,llegaba,llegaría,llegaré
,,,tú,llegas,llegaste,llegabas,llegarías,llegarás
,,,él/ella/usted,llega,llegó,llegaba,llegaría,llegará
,,,nosotros,llegamos,llegamos,llegábamos,llegaríamos,llegaremos
,,,vosotros,llegáis,llegasteis,llegabais,llegaríais,llegaréis
,,,ellos/ellas/ustedes,llegan,llegaron,llegaban,llegarían,llegarán
llenar,to fill,yeh - nahr,yo,lleno,llené,llenaba,llenaría,llenaré
,,,tú,llenas,llenaste,llenabas,llenarías,llenarás
,,,él/ella/usted,llena,llenó,llenaba,llenaría,llenará
,,,nosotros,llenamos,llenamos,llenábamos,llenaríamos,llenaremos
,,,vosotros,llenáis,llenasteis,llenabais,llenaríais,llenaréis
,,,ellos/ellas/ustedes,llenan,llenaron,llenaban,llenarían,llenarán
llevar,to carry,yeh - bahr,yo,llevo,llevé,llevaba,llevaría,llevaré
,,,tú,llevas,llevaste,llevabas,llevarías,llevarás
,,,él/ella/usted,lleva,llevó,llevaba,llevaría,llevará
,,,nosotros,llevamos,llevamos,llevábamos,llevaríamos,llevaremos
,,,vosotros,lleváis,llevasteis,llevabais,llevaríais,llevaréis
,,,ellos/ellas/ustedes,llevan,llevaron,llevaban,llevarían,llevarán
llorar,to cry,yoh - rahr,yo,lloro,lloré,lloraba,lloraría,lloraré
,,,tú,lloras,lloraste,llorabas,llorarías,llorarás
,,,él/ella/usted,llora,lloró,lloraba,lloraría,llorará
,,,nosotros,lloramos,lloramos,llorábamos,lloraríamos,lloraremos
,,,vosotros,lloráis,llorasteis,llorabais,lloraríais,lloraréis
,,,ellos/ellas/ustedes,lloran,lloraron,lloraban,llorarían,llorarán
mantener,to maintain,mahn - teh - nehr,yo,mantengo,mantuve,mantenía,mantendría,mantendré
,,,tú,mantienes,mantuviste,mantenías,mantendrías,mantendrás
,,,él/ella/usted,mantiene,mantuvo,mantenía,mantendría,mantendrá
,,,nosotros,mantenemos,mantuvimos,manteníamos,mantendríamos,mantendremos
,,,vosotros,mantenéis,mantuvisteis,manteníais,mantendríais,mantendréis
,,,ellos/ellas/ustedes,mantienen,mantuvieron,mantenían,mantendrían,mantendrán
mejorar,to improve,meh - hoh - rahr,yo,mejoro,mejoré,mejoraba,mejoraría,mejoraré
,,,tú,mejoras,mejoraste,mejorabas,mejorarías,mejorarás
,,,él/ella/usted,mejora,mejoró,mejoraba,mejoraría,mejorará
,,,nosotros,mejoramos,mejoramos,mejorábamos,mejoraríamos,mejoraremos
,,,vosotros,mejoráis,mejorasteis,mejorabais,mejoraríais,mejoraréis
,,,ellos/ellas/ustedes,mejoran,mejoraron,mejoraban,mejorarían,mejorarán
mentir,to lie,mehn - teer,yo,miento,mentí,mentía,mentiría,mentiré
,,,tú,mientes,mentiste,mentías,mentirías,mentirás
,,,él/ella/usted,miente,mintió,mentía,mentiría,mentirá
,,,nosotros,mentimos,mentimos,mentíamos,mentiríamos,mentiremos
,,,vosotros,mentís,mentisteis,mentíais,mentiríais,mentiréis
,,,ellos/ellas/ustedes,mienten,mintieron,mentían,mentirían,mentirán
mezclar,to mix,mehth - klahr,yo,mezclo,mezclé,mezclaba,mezclaría,mezclaré
,,,tú,mezclas,mezclaste,mezclabas,mezclarías,mezclarás
,,,él/ella/usted,mezcla,mezcló,mezclaba,mezclaría,mezclará
,,,nosotros,mezclamos,mezclamos,mezclábamos,mezclaríamos,mezclaremos
,,,vosotros,mezcláis,mezclasteis,mezclabais,mezclaríais,mezclaréis
,,,ellos/ellas/ustedes,mezclan,mezclaron,mezclaban,mezclarían,mezclarán
mirar,to look,mee - rahr,yo,miro,miré,miraba,miraría,miraré
,,,tú,miras,miraste,mirabas,mirarías,mirarás
,,,él/ella/usted,mira,miró,miraba,miraría,mirará
,,,nosotros,miramos,miramos,mirábamos,miraríamos,miraremos
,,,vosotros,miráis,mirasteis,mirabais,miraríais,miraréis
,,,ellos/ellas/ustedes,miran,miraron,miraban,mirarían,mirarán
molestar,to bother,moh - lehs - tahr,yo,molesto,molesté,molestaba,molestaría,molestaré
,,,tú,molestas,molestaste,molestabas,molestarías,molestarás
,,,él/ella/usted,molesta,molestó,molestaba,molestaría,molestará
,,,nosotros,molestamos,molestamos,molestábamos,molestaríamos,molestaremos
,,,vosotros,molestáis,molestasteis,molestabais,molestaríais,molestaréis
,,,ellos/ellas/ustedes,molestan,molestaron,molestaban,molestarían,molestarán
montar,to mount,mohn - tahr,yo,monto,monté,montaba,montaría,montaré
,,,tú,montas,montaste,montabas,montarías,montarás
,,,él/ella/usted,monta,montó,montaba,montaría,montará
,,,nosotros,montamos,montamos,montábamos,montaríamos,montaremos
,,,vosotros,montáis,montasteis,montabais,montaríais,montaréis
,,,ellos/ellas/ustedes,montan,montaron,montaban,montarían,montarán
mostrar,to show,mohs - trahr,yo,muestro,mostré,mostraba,mostraría,mostraré
,,,tú,muestras,mostraste,mostrabas,mostrarías,mostrarás
,,,él/ella/usted,muestra,mostró,mostraba,mostraría,mostrará
,,,nosotros,mostramos,mostramos,mostrábamos,mostraríamos,mostraremos
,,,vosotros,mostráis,mostrasteis,mostrabais,mostraríais,mostraréis
,,,ellos/ellas/ustedes,muestran,mostraron,mostraban,mostrarían,mostrarán
mover,to move (something),moh - behr,yo,muevo,moví,movía,movería,moveré
,,,tú,mueves,moviste,movías,moverías,moverás
,,,él/ella/usted,mueve,movió,movía,movería,moverá
,,,nosotros,movemos,movimos,movíamos,moveríamos,moveremos
,,,vosotros,movéis,movisteis,movíais,moveríais,moveréis
,,,ellos/ellas/ustedes,mueven,movieron,movían,moverían,moverán
necesitar,to need,neh - theh - see - tahr,yo,necesito,necesité,necesitaba,necesitaría,necesitaré
,,,tú,necesitas,necesitaste,necesitabas,necesitarías,necesitarás
,,,él/ella/usted,necesita,necesitó,necesitaba,necesitaría,necesitará
,,,nosotros,necesitamos,necesitamos,necesitábamos,necesitaríamos,necesitaremos
,,,vosotros,necesitáis,necesitasteis,necesitabais,necesitaríais,necesitaréis
,,,ellos/ellas/ustedes,necesitan,necesitaron,necesitaban,necesitarían,necesitarán
obligar,to oblige,oh - blee - gahr,yo,obligo,obligué,obligaba,obligaría,obligaré
,,,tú,obligas,obligaste,obligabas,obligarías,obligarás
,,,él/ella/usted,obliga,obligó,obligaba,obligaría,obligará
,,,nosotros,obligamos,obligamos,obligábamos,obligaríamos,obligaremos
,,,vosotros,obligáis,obligasteis,obligabais,obligaríais,obligaréis
,,,ellos/ellas/ustedes,obligan,obligaron,obligaban,obligarían,obligarán
ocurrir,to occur,oh - koo - rreer,yo,ocurro,ocurrí,ocurría,ocurriría,ocurriré
,,,tú,ocurres,ocurriste,ocurrías,ocurrirías,ocurrirás
,,,él/ella/usted,ocurre,ocurrió,ocurría,ocurriría,ocurrirá
,,,nosotros,ocurrimos,ocurrimos,ocurríamos,ocurriríamos,ocurriremos
,,,vosotros,ocurrís,ocurristeis,ocurríais,ocurriríais,ocurriréis
,,,ellos/ellas/ustedes,ocurren,ocurrieron,ocurrían,ocurrirían,ocurrirán
odiar,to hate,oh - dyahr,yo,odio,odié,odiaba,odiaría,odiaré
,,,tú,odias,odiaste,odiabas,odiarías,odiarás
,,,él/ella/usted,odia,odió,odiaba,odiaría,odiará
,,,nosotros,odiamos,odiamos,odiábamos,odiaríamos,odiaremos
,,,vosotros,odiáis,odiasteis,odiabais,odiaríais,odiaréis
,,,ellos/ellas/ustedes,odian,odiaron,odiaban,odiarían,odiarán
ofrecer,to offer,oh - freh - thehr,yo,ofrezco,ofrecí,ofrecía,ofrecería,ofreceré
,,,tú,ofreces,ofreciste,ofrecías,ofrecerías,ofrecerás
,,,él/ella/usted,ofrece,ofreció,ofrecía,ofrecería,ofrecerá
,,,nosotros,ofrecemos,ofrecimos,ofrecíamos,ofreceríamos,ofreceremos
,,,vosotros,ofrecéis,ofrecisteis,ofrecíais,ofreceríais,ofreceréis
,,,ellos/ellas/ustedes,ofrecen,ofrecieron,ofrecían,ofrecerían,ofrecerán
oír,to hear,oh - eer,yo,oigo,oí,oía,oiría,oiré
,,,tú,oyes,oíste,oías,oirías,oirás
,,,él/ella/usted,oye,oyó,oía,oiría,oirá
,,,nosotros,oímos,oímos,oíamos,oiríamos,oiremos
,,,vosotros,oís,oísteis,oíais,oiríais,oiréis
,,,ellos/ellas/ustedes,oyen,oyeron,oían,oirían,oirán
oler,to smell,oh - lehr,yo,huelo,olí,olía,olería,oleré
,,,tú,hueles,oliste,olías,olerías,olerás
,,,él/ella/usted,huele,olió,olía,olería,olerá
,,,nosotros,olemos,olimos,olíamos,oleríamos,oleremos
,,,vosotros,oléis,olisteis,olíais,oleríais,oleréis
,,,ellos/ellas/ustedes,huelen,olieron,olían,olerían,olerán
olvidar,to forget,ohl - bee - dahr,yo,olvido,olvidé,olvidaba,olvidaría,olvidaré
,,,tú,olvidas,olvidaste,olvidabas,olvidarías,olvidarás
,,,él/ella/usted,olvida,olvidó,olvidaba,olvidaría,olvidará
,,,nosotros,olvidamos,olvidamos,olvidábamos,olvidaríamos,olvidaremos
,,,vosotros,olvidáis,olvidasteis,olvidabais,olvidaríais,olvidaréis
,,,ellos/ellas/ustedes,olvidan,olvidaron,olvidaban,olvidarían,olvidarán
ordenar,to sort,ohr - deh - nahr,yo,ordeno,ordené,ordenaba,ordenaría,ordenaré
,,,tú,ordenas,ordenaste,ordenabas,ordenarías,ordenarás
,,,él/ella/usted,ordena,ordenó,ordenaba,ordenaría,ordenará
,,,nosotros,ordenamos,ordenamos,ordenábamos,ordenaríamos,ordenaremos
,,,vosotros,ordenáis,ordenasteis,ordenabais,ordenaríais,ordenaréis
,,,ellos/ellas/ustedes,ordenan,ordenaron,ordenaban,ordenarían,ordenarán
organizar,to organize,ohr - gah - nee - thahr,yo,organizo,organicé,organizaba,organizaría,organizaré
,,,tú,organizas,organizaste,organizabas,organizarías,organizarás
,,,él/ella/usted,organiza,organizó,organizaba,organizaría,organizará
,,,nosotros,organizamos,organizamos,organizábamos,organizaríamos,organizaremos
,,,vosotros,organizáis,organizasteis,organizabais,organizaríais,organizaréis
,,,ellos/ellas/ustedes,organizan,organizaron,organizaban,organizarían,organizarán
pagar,to pay (for),pah - gahr,yo,pago,pagué,pagaba,pagaría,pagaré
,,,tú,pagas,pagaste,pagabas,pagarías,pagarás
,,,él/ella/usted,paga,pagó,pagaba,pagaría,pagará
,,,nosotros,pagamos,pagamos,pagábamos,pagaríamos,pagaremos
,,,vosotros,pagáis,pagasteis,pagabais,pagaríais,pagaréis
,,,ellos/ellas/ustedes,pagan,pagaron,pagaban,pagarían,pagarán
parar,to stop,pah - rahr,yo,paro,paré,paraba,pararía,pararé
,,,tú,paras,paraste,parabas,pararías,pararás
,,,él/ella/usted,para,paró,paraba,pararía,parará
,,,nosotros,paramos,paramos,parábamos,pararíamos,pararemos
,,,vosotros,paráis,parasteis,parabais,pararíais,pararéis
,,,ellos/ellas/ustedes,paran,pararon,paraban,pararían,pararán
parecer,to seem,pah - reh - thehr,yo,parezco,parecí,parecía,parecería,pareceré
,,,tú,pareces,pareciste,parecías,parecerías,parecerás
,,,él/ella/usted,parece,pareció,parecía,parecería,parecerá
,,,nosotros,parecemos,parecimos,parecíamos,pareceríamos,pareceremos
,,,vosotros,parecéis,parecisteis,parecíais,pareceríais,pareceréis
,,,ellos/ellas/ustedes,parecen,parecieron,parecían,parecerían,parecerán
participar,to participate,pahr - tee - thee - pahr,yo,participo,participé,participaba,participaría,participaré
,,,tú,participas,participaste,participabas,participarías,participarás
,,,él/ella/usted,participa,participó,participaba,participaría,participará
,,,nosotros,participamos,participamos,participábamos,participaríamos,participaremos
,,,vosotros,participáis,participasteis,participabais,participaríais,participaréis
,,,ellos/ellas/ustedes,participan,participaron,participaban,participarían,participarán
pasar,to pass,pah - sahr,yo,paso,pasé,pasaba,pasaría,pasaré
,,,tú,pasas,pasaste,pasabas,pasarías,pasarás
,,,él/ella/usted,pasa,pasó,pasaba,pasaría,pasará
,,,nosotros,pasamos,pasamos,pasábamos,pasaríamos,pasaremos
,,,vosotros,pasáis,pasasteis,pasabais,pasaríais,pasaréis
,,,ellos/ellas/ustedes,pasan,pasaron,pasaban,pasarían,pasarán
pedir,to ask for (something),peh - deer,yo,pido,pedí,pedía,pediría,pediré
,,,tú,pides,pediste,pedías,pedirías,pedirás
,,,él/ella/usted,pide,pidió,pedía,pediría,pedirá
,,,nosotros,pedimos,pedimos,pedíamos,pediríamos,pediremos
,,,vosotros,pedís,pedisteis,pedíais,pediríais,pediréis
,,,ellos/ellas/ustedes,piden,pidieron,pedían,pedirían,pedirán
pelear,to fight,peh - leh - ahr,yo,peleo,peleé,peleaba,pelearía,pelearé
,,,tú,peleas,peleaste,peleabas,pelearías,pelearás
,,,él/ella/usted,pelea,peleó,peleaba,pelearía,peleará
,,,nosotros,peleamos,peleamos,peleábamos,pelearíamos,pelearemos
,,,vosotros,peleáis,peleasteis,peleabais,pelearíais,pelearéis
,,,ellos/ellas/ustedes,pelean,pelearon,peleaban,pelearían,pelearán
pensar,to think,pehn - sahr,yo,pienso,pensé,pensaba,pensaría,pensaré
,,,tú,piensas,pensaste,pensabas,pensarías,pensarás
,,,él/ella/usted,piensa,pensó,pensaba,pensaría,pensará
,,,nosotros,pensamos,pensamos,pensábamos,pensaríamos,pensaremos
,,,vosotros,pensáis,pensasteis,pensabais,pensaríais,pensaréis
,,,ellos/ellas/ustedes,piensan,pensaron,pensaban,pensarían,pensarán
perder,to lose,pehr - dehr,yo,pierdo,perdí,perdía,perdería,perderé
,,,tú,pierdes,perdiste,perdías,perderías,perderás
,,,él/ella/usted,pierde,perdió,perdía,perdería,perderá
,,,nosotros,perdemos,perdimos,perdíamos,perderíamos,perderemos
,,,vosotros,perdéis,perdisteis,perdíais,perderíais,perderéis
,,,ellos/ellas/ustedes,pierden,perdieron,perdían,perderían,perderán
permitir,to allow,pehr - mee - teer,yo,permito,permití,permitía,permitiría,permitiré
,,,tú,permites,permitiste,permitías,permitirías,permitirás
,,,él/ella/usted,permite,permitió,permitía,permitiría,permitirá
,,,nosotros,permitimos,permitimos,permitíamos,permitiríamos,permitiremos
,,,vosotros,permitís,permitisteis,permitíais,permitiríais,permitiréis
,,,ellos/ellas/ustedes,permiten,permitieron,permitían,permitirían,permitirán
pintar,to paint,peen - tahr,yo,pinto,pinté,pintaba,pintaría,pintaré
,,,tú,pintas,pintaste,pintabas,pintarías,pintarás
,,,él/ella/usted,pinta,pintó,pintaba,pintaría,pintará
,,,nosotros,pintamos,pintamos,pintábamos,pintaríamos,pintaremos
,,,vosotros,pintáis,pintasteis,pintabais,pintaríais,pintaréis
,,,ellos/ellas/ustedes,pintan,pintaron,pintaban,pintarían,pintarán
planear,to plan,plah - neh - ahr,yo,planeo,planeé,planeaba,planearía,planearé
,,,tú,planeas,planeaste,planeabas,planearías,planearás
,,,él/ella/usted,planea,planeó,planeaba,planearía,planeará
,,,nosotros,planeamos,planeamos,planeábamos,planearíamos,planearemos
,,,vosotros,planeáis,planeasteis,planeabais,planearíais,planearéis
,,,ellos/ellas/ustedes,planean,planearon,planeaban,planearían,planearán
poder,to be able to,poh - dehr,yo,puedo,pude,podía,podría,podré
,,,tú,puedes,pudiste,podías,podrías,podrás
,,,él/ella/usted,puede,pudo,podía,podría,podrá
,,,nosotros,podemos,pudimos,podíamos,podríamos,podremos
,,,vosotros,podéis,pudisteis,podíais,podríais,podréis
,,,ellos/ellas/ustedes,pueden,pudieron,podían,podrían,podrán
poner,to put,poh - nehr,yo,pongo,puse,ponía,pondría,pondré
,,,tú,pones,pusiste,ponías,pondrías,pondrás
,,,él/ella/usted,pone,puso,ponía,pondría,pondrá
,,,nosotros,ponemos,pusimos,poníamos,pondríamos,pondremos
,,,vosotros,ponéis,pusisteis,poníais,pondríais,pondréis
,,,ellos/ellas/ustedes,ponen,pusieron,ponían,pondrían,pondrán
practicar,to practice,prahk - tee - kahr,yo,practico,practiqué,practicaba,practicaría,practicaré
,,,tú,practicas,practicaste,practicabas,practicarías,practicarás
,,,él/ella/usted,practica,practicó,practicaba,practicaría,practicará
,,,nosotros,practicamos,practicamos,practicábamos,practicaríamos,practicaremos
,,,vosotros,practicáis,practicasteis,practicabais,practicaríais,practicaréis
,,,ellos/ellas/ustedes,practican,practicaron,practicaban,practicarían,practicarán
preferir,to prefer,preh - feh - reer,yo,prefiero,preferí,prefería,preferiría,preferiré
,,,tú,prefieres,preferiste,preferías,preferirías,preferirás
,,,él/ella/usted,prefiere,prefirió,prefería,preferiría,preferirá
,,,nosotros,preferimos,preferimos,preferíamos,preferiríamos,preferiremos
,,,vosotros,preferís,preferisteis,preferíais,preferiríais,preferiréis
,,,ellos/ellas/ustedes,prefieren,prefirieron,preferían,preferirían,preferirán
preguntar,to ask a question,preh - goon - tahr,yo,pregunto,pregunté,preguntaba,preguntaría,preguntaré
,,,tú,preguntas,preguntaste,preguntabas,preguntarías,preguntarás
,,,él/ella/usted,pregunta,preguntó,preguntaba,preguntaría,preguntará
,,,nosotros,preguntamos,preguntamos,preguntábamos,preguntaríamos,preguntaremos
,,,vosotros,preguntáis,preguntasteis,preguntabais,preguntaríais,preguntaréis
,,,ellos/ellas/ustedes,preguntan,preguntaron,preguntaban,preguntarían,preguntarán
preparar,to prepare,preh - pah - rahr,yo,preparo,preparé,preparaba,prepararía,prepararé
,,,tú,preparas,preparaste,preparabas,prepararías,prepararás
,,,él/ella/usted,prepara,preparó,preparaba,prepararía,preparará
,,,nosotros,preparamos,preparamos,preparábamos,prepararíamos,prepararemos
,,,vosotros,preparáis,preparasteis,preparabais,prepararíais,prepararéis
,,,ellos/ellas/ustedes,preparan,prepararon,preparaban,prepararían,prepararán
presentar,to present,preh - sehn - tahr,yo,presento,presenté,presentaba,presentaría,presentaré
,,,tú,presentas,presentaste,presentabas,presentarías,presentarás
,,,él/ella/usted,presenta,presentó,presentaba,presentaría,presentará
,,,nosotros,presentamos,presentamos,presentábamos,presentaríamos,presentaremos
,,,vosotros,presentáis,presentasteis,presentabais,presentaríais,presentaréis
,,,ellos/ellas/ustedes,presentan,presentaron,presentaban,presentarían,presentarán
probarse,to try on,proh - bahr - seh,yo,me pruebo,me probé,me probaba,me probaría,me probaré
,,,tú,te pruebas,te probaste,te probabas,te probarías,te probarás
,,,él/ella/usted,se prueba,se probó,se probaba,se probaría,se probará
,,,nosotros,nos probamos,nos probamos,nos probábamos,nos probaríamos,nos probaremos
,,,vosotros,os probáis,os probasteis,os probabais,os probaríais,os probaréis
,,,ellos/ellas/ustedes,se prueban,se probaron,se probaban,se probarían,se probarán
prohibir,to prohibit,proy - beer,yo,prohíbo,prohibí,prohibía,prohibiría,prohibiré
,,,tú,prohíbes,prohibiste,prohibías,prohibirías,prohibirás
,,,él/ella/usted,prohíbe,prohibió,prohibía,prohibiría,prohibirá
,,,nosotros,prohibimos,prohibimos,prohibíamos,prohibiríamos,prohibiremos
,,,vosotros,prohibís,prohibisteis,prohibíais,prohibiríais,prohibiréis
,,,ellos/ellas/ustedes,prohíben,prohibieron,prohibían,prohibirían,prohibirán
pronunciar,to pronounce,proh - noon - thyahr,yo,pronuncio,pronuncié,pronunciaba,pronunciaría,pronunciaré
,,,tú,pronuncias,pronunciaste,pronunciabas,pronunciarías,pronunciarás
,,,él/ella/usted,pronuncia,pronunció,pronunciaba,pronunciaría,pronunciará
,,,nosotros,pronunciamos,pronunciamos,pronunciábamos,pronunciaríamos,pronunciaremos
,,,vosotros,pronunciáis,pronunciasteis,pronunciabais,pronunciaríais,pronunciaréis
,,,ellos/ellas/ustedes,pronuncian,pronunciaron,pronunciaban,pronunciarían,pronunciarán
proteger,to protect,proh - teh - hehr,yo,protejo,protegí,protegía,protegería,protegeré
,,,tú,proteges,protegiste,protegías,protegerías,protegerás
,,,él/ella/usted,protege,protegió,protegía,protegería,protegerá
,,,nosotros,protegemos,protegimos,protegíamos,protegeríamos,protegeremos
,,,vosotros,protegéis,protegisteis,protegíais,protegeríais,protegeréis
,,,ellos/ellas/ustedes,protegen,protegieron,protegían,protegerían,protegerán
quedarse,to stay,keh - dahr - seh,yo,me quedo,me quedé,me quedaba,me quedaría,me quedaré
,,,tú,te quedas,te quedaste,te quedabas,te quedarías,te quedarás
,,,él/ella/usted,se queda,se quedó,se quedaba,se quedaría,se quedará
,,,nosotros,nos quedamos,nos quedamos,nos quedábamos,nos quedaríamos,nos quedaremos
,,,vosotros,os quedáis,os quedasteis,os quedabais,os quedaríais,os quedaréis
,,,ellos/ellas/ustedes,se quedan,se quedaron,se quedaban,se quedarían,se quedarán
quejarse,to complain,keh - hahr - seh,yo,me quejo,me quejé,me quejaba,me quejaría,me quejaré
,,,tú,te quejas,te quejaste,te quejabas,te quejarías,te quejarás
,,,él/ella/usted,se queja,se quejó,se quejaba,se quejaría,se quejará
,,,nosotros,nos quejamos,nos quejamos,nos quejábamos,nos quejaríamos,nos quejaremos
,,,vosotros,os quejáis,os quejasteis,os quejabais,os quejaríais,os quejaréis
,,,ellos/ellas/ustedes,se quejan,se quejaron,se quejaban,se quejarían,se quejarán
querer,to want,keh - rehr,yo,quiero,quise,quería,querría,querré
,,,tú,quieres,quisiste,querías,querrías,querrás
,,,él/ella/usted,quiere,quiso,quería,querría,querrá
,,,nosotros,queremos,quisimos,queríamos,querríamos,querremos
,,,vosotros,queréis,quisisteis,queríais,querríais,querréis
,,,ellos/ellas/ustedes,quieren,quisieron,querían,querrían,querrán
quitar,to remove,kee - tahr,yo,quito,quité,quitaba,quitaría,quitaré
,,,tú,quitas,quitaste,quitabas,quitarías,quitarás
,,,él/ella/usted,quita,quitó,quitaba,quitaría,quitará
,,,nosotros,quitamos,quitamos,quitábamos,quitaríamos,quitaremos
,,,vosotros,quitáis,quitasteis,quitabais,quitaríais,quitaréis
,,,ellos/ellas/ustedes,quitan,quitaron,quitaban,quitarían,quitarán
rechazar,to reject,rreh - chah - thahr,yo,rechazo,rechacé,rechazaba,rechazaría,rechazaré
,,,tú,rechazas,rechazaste,rechazabas,rechazarías,rechazarás
,,,él/ella/usted,rechaza,rechazó,rechazaba,rechazaría,rechazará
,,,nosotros,rechazamos,rechazamos,rechazábamos,rechazaríamos,rechazaremos
,,,vosotros,rechazáis,rechazasteis,rechazabais,rechazaríais,rechazaréis
,,,ellos/ellas/ustedes,rechazan,rechazaron,rechazaban,rechazarían,rechazarán
recibir,to receive,rreh - thee - beer,yo,recibo,recibí,recibía,recibiría,recibiré
,,,tú,recibes,recibiste,recibías,recibirías,recibirás
,,,él/ella/usted,recibe,recibió,recibía,recibiría,recibirá
,,,nosotros,recibimos,recibimos,recibíamos,recibiríamos,recibiremos
,,,vosotros,recibís,recibisteis,recibíais,recibiríais,recibiréis
,,,ellos/ellas/ustedes,reciben,recibieron,recibían,recibirían,recibirán
